City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
275,Tulun,54.5611,100.5792,-17.12,99,100,0.62,RU,1675552902
276,Henties Bay,-22.116,14.2845,17.89,87,97,3.35,NA,1675552607
277,San Vicente,-26.6167,-54.1333,23.61,49,98,1.95,AR,1675552902
278,Lahat,-3.8,103.5333,21.17,92,100,1.0,ID,1675552902
279,Bajil,15.0584,43.2851,23.57,79,35,2.01,YE,1675552903
280,Saint-Pierre,-21.3393,55.4781,24.82,88,0,1.54,RE,1675552903
281,Prince Rupert,54.3161,-130.3201,7.83,91,100,13.38,CA,1675552806
282,Galle,6.0367,80.217,24.5,88,43,0.56,LK,1675552903
283,Bohmte,52.3667,8.3167,3.98,87,46,2.37,DE,1675552904
284,Álamos,27.0167,-108.9333,29.41,14,0,2.65,MX,1675552904
285,Niterói,-22.8833,-43.1036,30.81,72,75,5.66,BR,1675552904
286,Saldanha,-33.0117,17.9442,19.03,96,93,6.45,ZA,1675552905
287,Sur,22.5667,59.5289,21.08,66,1,2.42,OM,1675552905
288,Pisco,-13.7,-76.2167,23.03,94,0,4.12,PE,1675552905
289,Kavaratti,10.5669,72.642,27.25,68,52,1.97,IN,1675552906
290,Lavrentiya,65.5833,-171.0,-24.01,94,91,2.98,RU,1675552896
291,Mahébourg,-20.4081,57.7,26.16,83,75,1.54,MU,1675552906
292,Piaçabuçu,-10.4056,-36.4344,26.28,81,41,4.2,BR,1675552906
293,Tignère,7.3667,12.65,21.72,21,100,0.88,CM,1675552907
294,Coromandel,-18.4733,-47.2003,20.64,87,83,0.59,BR,1675552907
295,Letlhakane,-21.4167,25.5833,23.21,67,99,5.73,BW,1675552907
296,Prince Albert,53.2001,-105.7677,-7.03,86,100,2.06,CA,1675552908
297,Inyonga,-6.7167,32.0667,17.97,90,100,1.28,TZ,1675552908
298,Kouango,4.9934,19.9619,26.03,19,37,1.08,CF,1675552908
299,Guaraniaçu,-25.1008,-52.8781,18.76,76,88,0.61,BR,1675552909
300,Palmerston,-12.486,130.9833,27.72,81,75,4.12,AU,1675552909
301,La Plata,-34.9215,-57.9545,25.02,57,0,5.96,AR,1675552909
302,Mayo,38.8876,-76.5119,-0.48,48,0,4.12,US,1675552910
303,Airai,-8.9266,125.4092,16.8,88,98,1.06,TL,1675552910
304,Constitución,-35.3333,-72.4167,17.81,84,26,1.76,CL,1675552910
305,Oranjemund,-28.55,16.4333,17.74,93,26,4.53,NA,1675552911
306,Jatai,-17.8814,-51.7144,21.46,92,84,2.06,BR,1675552911
307,Moranbah,-22.0016,148.0466,27.71,70,90,5.64,AU,1675552911
308,Lékoni,-1.5843,14.2591,26.42,62,98,3.38,GA,1675552912
309,Bullhead City,35.1478,-114.5683,23.3,20,40,3.09,US,1675552895
310,Tessalit,20.1986,1.0114,15.74,16,62,4.65,ML,1675552912
311,Antibes,43.5624,7.1278,11.74,72,0,2.06,FR,1675552912
312,Gouré,13.9835,10.2704,21.94,16,59,3.46,NE,1675552913
313,Bambous Virieux,-20.3428,57.7575,26.14,83,75,1.54,MU,1675552913
314,Grand Gaube,-20.0064,57.6608,26.22,82,97,0.89,MU,1675552913
315,Bilibino,68.0546,166.4372,-37.03,98,15,1.95,RU,1675552914
316,Russell,32.3502,-85.1999,13.6,35,0,2.57,US,1675552914
317,Buraidah,26.326,43.975,12.25,35,0,5.05,SA,1675552724
318,Yadrin,55.9405,46.2062,-14.94,100,96,1.1,RU,1675552914
319,Mount Hagen,-5.8581,144.2274,18.42,88,40,2.06,PG,1675552915
320,Chastyye,57.2888,54.9728,-15.33,97,100,0.53,RU,1675552915
321,Puerto Madero,14.7208,-92.4215,30.11,54,20,3.6,MX,1675552915
322,Ingham,42.6,-84.3833,-0.03,65,0,2.57,US,1675552916
323,North Bend,43.4065,-124.2243,13.29,85,100,4.63,US,1675552883
324,Krutinka,56.0055,71.5113,-19.21,100,100,1.29,RU,1675552916
325,Ciudad Bolivar,8.1222,-63.5497,29.92,45,99,6.25,VE,1675552916
326,Broken Hill,-31.95,141.4333,19.08,46,0,4.75,AU,1675552917
327,City of San Pedro,14.35,121.0167,24.59,80,75,0.51,PH,1675552917
328,Saint Anthony,45.0205,-93.218,-1.5,70,75,3.6,US,1675552656
329,Tual,-5.6667,132.75,27.35,81,100,6.47,ID,1675552917
330,Ca Mau,9.1769,105.15,23.78,83,93,3.8,VN,1675552918
331,Laas,46.6166,10.7002,1.49,75,34,4.0,IT,1675552918
332,Beloha,-25.1667,45.05,22.68,83,99,5.85,MG,1675552918
333,Fort Nelson,58.8053,-122.7002,-14.47,79,100,0.45,CA,1675552919
334,Tombouctou,20.0,-3.0,15.88,20,100,4.71,ML,1675552919
335,Coquimbo,-29.9533,-71.3436,20.85,68,0,4.63,CL,1675552919
336,Rio Claro,-22.4114,-47.5614,21.6,93,100,2.19,BR,1675552920
337,Pakhtakoron,40.1571,68.7466,5.07,94,100,2.88,TJ,1675552920
338,Roebourne,-20.7833,117.1333,31.53,51,95,1.8,AU,1675552914
339,Cody,44.5263,-109.0565,7.12,37,0,11.18,US,1675552629
